,timestamp,agent_num,mean_q_loss,mean_exp_return
0,1739119436,0,tensor(0.1838),70.134834
1,1739119436,1,tensor(0.0185),101.92814
2,1739119436,2,tensor(0.2689),55.508125
3,1739119437,0,tensor(0.1036),126.67811
4,1739119437,1,tensor(0.3844),96.732155
5,1739119437,2,tensor(2.5078),73.66065
6,1739119437,0,tensor(0.2114),130.7133
7,1739119437,1,tensor(0.0885),37.471992
8,1739119438,2,tensor(0.8058),79.3392
9,1739119438,0,tensor(0.0344),98.07795
10,1739119438,1,tensor(0.1982),114.61287
11,1739119438,2,tensor(0.2521),80.018166
12,1739119439,0,tensor(0.2094),97.077934
13,1739119439,1,tensor(0.1523),62.67457
14,1739119440,2,tensor(0.6277),91.07704
15,1739119441,0,tensor(0.7416),94.522934
16,1739119441,1,tensor(0.2190),115.92531
17,1739119441,2,tensor(0.1759),60.290237
18,1739119442,0,tensor(0.0498),79.93123
19,1739119442,1,tensor(0.2161),64.957886
20,1739119442,2,tensor(0.1420),86.15356
21,1739119443,0,tensor(0.2583),100.25229
22,1739119443,1,tensor(0.5843),80.28007
23,1739119443,2,tensor(0.1400),81.966156
24,1739119443,0,tensor(0.4982),118.19446
25,1739119444,1,tensor(0.0448),88.27223
26,1739119444,2,tensor(0.1051),76.62193
27,1739119444,0,tensor(0.6903),53.389935
28,1739119444,1,tensor(1.2381),67.83188
29,1739119445,2,tensor(0.4227),104.313934
30,1739119445,0,tensor(0.1276),107.93792
31,1739119445,1,tensor(0.1175),101.605484
32,1739119445,2,tensor(0.0377),79.39369
33,1739119446,0,tensor(0.0276),107.0551
34,1739119446,1,tensor(0.0146),81.49498
35,1739119446,2,tensor(0.8844),70.57742
36,1739119447,0,tensor(0.4379),68.72052
37,1739119447,1,tensor(1.8196),82.33892
38,1739119447,2,tensor(0.1291),76.86399
39,1739119448,0,tensor(1.0183),100.588745
40,1739119448,1,tensor(0.2544),93.20723
41,1739119448,2,tensor(0.0982),71.46437
42,1739119448,0,tensor(0.1269),109.41886
43,1739119449,1,tensor(0.0580),70.99418
44,1739119449,2,tensor(0.0374),74.06302
45,1739119449,0,tensor(0.9101),62.62956
46,1739119449,1,tensor(0.1320),141.35474
47,1739119450,2,tensor(0.0761),78.84182
48,1739119450,0,tensor(0.6960),85.6034
49,1739119450,1,tensor(0.0673),82.399025
50,1739119450,2,tensor(0.1178),66.013214
51,1739119451,0,tensor(0.2236),90.22509
52,1739119451,1,tensor(0.1801),62.21616
53,1739119451,2,tensor(0.4245),106.26913
54,1739119452,0,tensor(0.2378),51.885704
55,1739119452,1,tensor(0.4650),46.73005
56,1739119452,2,tensor(0.4643),83.406006
57,1739119453,0,tensor(0.0403),122.51341
58,1739119453,1,tensor(0.2293),79.00951
59,1739119453,2,tensor(0.1645),72.185844
60,1739119453,0,tensor(0.8754),96.429886
61,1739119454,1,tensor(0.1226),87.00001
62,1739119454,2,tensor(0.0214),71.82071
63,1739119454,0,tensor(0.5632),59.542892
64,1739119454,1,tensor(0.7185),33.383877
65,1739119455,2,tensor(0.0484),52.181885
66,1739119455,0,tensor(0.0925),73.33433
67,1739119455,1,tensor(0.1484),78.61497
68,1739119455,2,tensor(0.1084),59.040756
69,1739119456,0,tensor(0.1077),94.64346
70,1739119456,1,tensor(0.4590),97.008125
71,1739119456,2,tensor(0.0418),50.217873
72,1739119457,0,tensor(0.0597),66.3457
73,1739119457,1,tensor(0.1099),93.32616
74,1739119457,2,tensor(0.1075),29.718985
75,1739119458,0,tensor(0.1292),97.19756
76,1739119458,1,tensor(0.0243),60.91288
77,1739119458,2,tensor(0.1210),44.746895
78,1739119459,0,tensor(0.7716),72.55194
79,1739119459,1,tensor(0.5174),72.50967
80,1739119459,2,tensor(0.3680),97.22589
81,1739119460,0,tensor(0.1928),115.68936
82,1739119460,1,tensor(0.0985),37.58284
83,1739119460,2,tensor(0.0168),60.376774
84,1739119461,0,tensor(0.0081),101.49114
85,1739119461,1,tensor(0.0083),155.32892
86,1739119461,2,tensor(0.0769),71.78251
87,1739119461,0,tensor(0.1123),99.72598
88,1739119461,1,tensor(0.2148),87.619774
89,1739119462,2,tensor(0.2896),98.51887
90,1739119462,0,tensor(0.0043),81.75958
91,1739119462,1,tensor(0.3180),81.92859
92,1739119462,2,tensor(0.0472),49.524544
93,1739119463,0,tensor(0.4601),94.95517
94,1739119463,1,tensor(0.2283),64.74478
95,1739119463,2,tensor(0.2207),71.01956
96,1739119464,0,tensor(0.2786),84.48522
97,1739119464,1,tensor(0.5144),109.988
98,1739119464,2,tensor(0.1944),78.72719
99,1739119464,0,tensor(0.0811),96.05053
100,1739119465,1,tensor(0.0942),53.3907
101,1739119465,2,tensor(0.2039),60.871647
102,1739119465,0,tensor(0.1153),74.62053
103,1739119466,1,tensor(0.0837),79.51123
104,1739119466,2,tensor(0.1909),55.37644
105,1739119466,0,tensor(0.5322),100.6562
106,1739119467,1,tensor(0.1956),96.059814
107,1739119467,2,tensor(0.4922),77.83792
108,1739119467,0,tensor(0.1323),51.61254
109,1739119467,1,tensor(0.1636),77.98591
110,1739119468,2,tensor(0.4243),54.65611
111,1739119468,0,tensor(0.2248),119.27866
112,1739119468,1,tensor(0.1036),107.07939
113,1739119468,2,tensor(0.0715),36.007095
114,1739119469,0,tensor(0.4632),103.420235
115,1739119469,1,tensor(0.2555),47.789196
116,1739119469,2,tensor(0.2526),53.68969
117,1739119470,0,tensor(0.6002),89.39929
118,1739119470,1,tensor(0.3552),95.42501
119,1739119470,2,tensor(0.3246),94.297714
120,1739119471,0,tensor(0.2795),105.24951
121,1739119471,1,tensor(0.1920),84.56632
122,1739119471,2,tensor(0.7661),90.13621
123,1739119471,0,tensor(0.5880),116.78566
124,1739119472,1,tensor(0.0774),87.00733
125,1739119472,2,tensor(0.1677),54.323444
126,1739119472,0,tensor(0.4522),103.93176
127,1739119472,1,tensor(1.3669),62.56078
128,1739119473,2,tensor(0.6018),56.580067
129,1739119474,0,tensor(0.8078),79.32707
130,1739119474,1,tensor(2.1009),96.17755
131,1739119475,2,tensor(0.7554),101.8262
132,1739119475,0,tensor(0.7324),90.84691
133,1739119475,1,tensor(0.4899),67.91135
134,1739119475,2,tensor(0.4952),62.34269
135,1739119476,0,tensor(1.0506),111.48128
136,1739119476,1,tensor(0.3428),100.64024
137,1739119476,2,tensor(1.0912),88.64774
138,1739119477,0,tensor(0.2025),58.226585
139,1739119477,1,tensor(0.2670),65.76142
140,1739119477,2,tensor(0.2148),46.855705
141,1739119478,0,tensor(0.5333),110.31865
142,1739119478,1,tensor(0.6237),61.415077
143,1739119478,2,tensor(0.7418),74.45233
144,1739119479,0,tensor(0.1896),99.31007
145,1739119479,1,tensor(0.7508),85.609726
146,1739119479,2,tensor(0.1919),57.596115
147,1739119480,0,tensor(0.3449),69.98531
148,1739119480,1,tensor(0.3633),78.5728
149,1739119480,2,tensor(0.4125),88.52003
150,1739119480,0,tensor(0.9904),73.378006
151,1739119481,1,tensor(0.2942),65.29036
152,1739119481,2,tensor(0.4048),119.13359
153,1739119481,0,tensor(0.3841),74.36244
154,1739119481,1,tensor(0.3847),80.536804
155,1739119482,2,tensor(0.5106),73.93796
156,1739119482,0,tensor(0.5883),63.105965
157,1739119482,1,tensor(0.2964),95.740524
158,1739119482,2,tensor(0.1873),101.80075
159,1739119483,0,tensor(0.4240),46.606277
160,1739119483,1,tensor(0.5816),90.762825
161,1739119483,2,tensor(0.4314),66.4046
162,1739119484,0,tensor(0.5865),86.88792
163,1739119484,1,tensor(0.8522),102.83709
164,1739119484,2,tensor(1.0539),68.911575
165,1739119485,0,tensor(0.5449),79.60139
166,1739119485,1,tensor(0.5611),43.221203
167,1739119485,2,tensor(0.5696),79.772896
168,1739119485,0,tensor(0.5905),106.42292
169,1739119486,1,tensor(1.3422),57.05472
170,1739119486,2,tensor(0.6862),112.1295
171,1739119486,0,tensor(0.6821),104.935135
172,1739119486,1,tensor(1.8465),65.464226
173,1739119487,2,tensor(0.6634),42.123497
174,1739119487,0,tensor(0.3124),87.83059
175,1739119487,1,tensor(0.2185),99.21643
176,1739119487,2,tensor(0.2762),56.32023
177,1739119488,0,tensor(1.0650),72.65664
178,1739119488,1,tensor(1.0540),58.82302
179,1739119488,2,tensor(2.4606),68.18533
180,1739119489,0,tensor(0.6335),105.39641
181,1739119489,1,tensor(0.6205),83.480515
182,1739119489,2,tensor(0.6657),92.337524
183,1739119490,0,tensor(0.8568),142.62625
184,1739119490,1,tensor(0.5716),92.27185
185,1739119490,2,tensor(1.1140),114.22731
186,1739119490,0,tensor(0.7812),56.523483
187,1739119491,1,tensor(0.4833),59.3459
188,1739119491,2,tensor(0.3197),61.95548
189,1739119491,0,tensor(1.1372),72.69517
190,1739119491,1,tensor(2.0825),49.068874
191,1739119492,2,tensor(1.7292),98.882286
192,1739119492,0,tensor(0.6371),122.4273
193,1739119492,1,tensor(0.6812),90.25463
194,1739119492,2,tensor(0.5429),89.269936
195,1739119493,0,tensor(0.5156),72.11189
196,1739119493,1,tensor(0.3100),84.58325
197,1739119493,2,tensor(0.2982),35.719307
198,1739119494,0,tensor(0.4432),110.44598
199,1739119494,1,tensor(0.4459),82.90638
200,1739119494,2,tensor(0.4289),106.75382
201,1739119494,0,tensor(0.7516),98.11695
202,1739119495,1,tensor(0.6840),105.60437
203,1739119495,2,tensor(0.6910),113.48023
204,1739119495,0,tensor(0.4421),101.64891
205,1739119495,1,tensor(0.5828),54.79377
206,1739119496,2,tensor(0.5592),97.79077
207,1739119496,0,tensor(0.2798),95.05053
208,1739119496,1,tensor(0.7161),56.707264
209,1739119496,2,tensor(0.2903),74.344086
210,1739119497,0,tensor(0.8756),71.23213
211,1739119497,1,tensor(1.2433),73.77806
212,1739119497,2,tensor(0.8731),70.89798
213,1739119498,0,tensor(0.5234),95.61358
214,1739119498,1,tensor(0.5174),81.960655
215,1739119498,2,tensor(0.4864),52.007362
216,1739119499,0,tensor(1.2553),68.4811
217,1739119499,1,tensor(1.6038),79.61603
218,1739119499,2,tensor(1.1813),67.46437
219,1739119500,0,tensor(0.7581),83.84959
220,1739119500,1,tensor(0.6968),71.88211
221,1739119500,2,tensor(0.9826),86.71991
222,1739119501,0,tensor(0.9516),113.36907
223,1739119501,1,tensor(0.9104),81.07378
224,1739119501,2,tensor(0.8371),68.285255
225,1739119502,0,tensor(0.4328),75.201355
226,1739119502,1,tensor(0.8154),87.41794
227,1739119502,2,tensor(0.8246),89.17282
228,1739119502,0,tensor(1.0503),76.477234
229,1739119503,1,tensor(0.9292),71.16411
230,1739119503,2,tensor(0.6932),60.953552
231,1739119503,0,tensor(0.4279),64.14068
232,1739119504,1,tensor(1.8657),89.9734
233,1739119504,2,tensor(0.4365),103.835915
234,1739119504,0,tensor(0.9335),136.38338
235,1739119504,1,tensor(0.8892),152.04712
236,1739119505,2,tensor(0.9339),77.10908
237,1739119505,0,tensor(0.8396),122.62128
238,1739119505,1,tensor(0.8162),118.90819
239,1739119506,2,tensor(0.9730),93.248825
240,1739119506,0,tensor(0.3832),37.776066
241,1739119506,1,tensor(1.0833),44.277718
242,1739119507,2,tensor(0.3977),88.79023
243,1739119508,0,tensor(0.9953),99.94974
244,1739119508,1,tensor(1.0653),30.685589
245,1739119508,2,tensor(0.9745),62.951008
246,1739119509,0,tensor(0.5095),137.92694
247,1739119509,1,tensor(0.6352),46.634537
248,1739119509,2,tensor(0.4347),65.130295
249,1739119510,0,tensor(0.6034),38.03305
250,1739119510,1,tensor(0.5998),63.958908
251,1739119510,2,tensor(0.7087),46.322098
252,1739119510,0,tensor(0.7643),91.60842
253,1739119511,1,tensor(0.3220),102.66874
254,1739119511,2,tensor(0.3319),62.979137
255,1739119511,0,tensor(0.2939),60.20525
256,1739119511,1,tensor(2.4159),68.28548
257,1739119512,2,tensor(0.2517),82.05042
258,1739119512,0,tensor(0.6449),120.37803
259,1739119512,1,tensor(0.5935),59.040405
260,1739119512,2,tensor(0.5748),85.08372
261,1739119513,0,tensor(0.5333),50.653023
262,1739119513,1,tensor(0.6698),83.91618
263,1739119513,2,tensor(0.1401),71.191
264,1739119514,0,tensor(0.6575),104.514946
265,1739119514,1,tensor(0.5374),60.97992
266,1739119514,2,tensor(0.3243),68.57846
267,1739119515,0,tensor(0.8844),45.47889
268,1739119515,1,tensor(1.3241),87.86121
269,1739119515,2,tensor(2.1696),80.17587
270,1739119516,0,tensor(1.0348),67.02789
271,1739119516,1,tensor(0.4738),61.790466
272,1739119516,2,tensor(1.6548),91.67054
273,1739119517,0,tensor(0.6603),101.57373
274,1739119517,1,tensor(0.8547),123.51557
275,1739119517,2,tensor(0.6362),65.62291
276,1739119518,0,tensor(1.1083),70.67587
277,1739119518,1,tensor(1.9535),84.60986
278,1739119518,2,tensor(0.6895),67.24429
279,1739119518,0,tensor(0.4293),108.60026
280,1739119519,1,tensor(0.6330),70.91538
281,1739119519,2,tensor(0.3188),102.1813
282,1739119519,0,tensor(0.2713),121.25651
283,1739119520,1,tensor(0.3154),76.882
284,1739119520,2,tensor(0.3977),44.899235
285,1739119520,0,tensor(0.8654),68.7682
286,1739119520,1,tensor(0.3907),117.36367
287,1739119521,2,tensor(1.0856),96.350845
288,1739119521,0,tensor(0.9716),48.99179
289,1739119521,1,tensor(0.9229),101.427925
290,1739119521,2,tensor(0.9833),76.120125
291,1739119522,0,tensor(0.7427),110.8871
292,1739119522,1,tensor(1.1078),62.75995
293,1739119522,2,tensor(1.0248),102.395355
294,1739119523,0,tensor(0.4565),105.16794
295,1739119523,1,tensor(0.4905),62.84728
296,1739119523,2,tensor(0.9359),50.676064
297,1739119523,0,tensor(0.4150),91.6997
298,1739119524,1,tensor(0.8659),78.69199
299,1739119524,2,tensor(0.5330),159.09624
300,1739119524,0,tensor(0.5258),78.208626
301,1739119525,1,tensor(0.3432),68.82029
302,1739119525,2,tensor(0.7145),77.63481
303,1739119525,0,tensor(0.6099),99.81461
304,1739119525,1,tensor(0.7222),69.336
305,1739119526,2,tensor(0.7481),72.28079
306,1739119526,0,tensor(0.4561),117.19675
307,1739119526,1,tensor(0.6742),28.885159
308,1739119526,2,tensor(0.6755),114.55799
309,1739119527,0,tensor(0.7802),119.15355
310,1739119527,1,tensor(0.6670),86.20631
311,1739119527,2,tensor(1.3389),63.18734
312,1739119528,0,tensor(0.5611),96.84752
313,1739119528,1,tensor(0.6615),69.515274
314,1739119528,2,tensor(0.4840),90.79698
315,1739119529,0,tensor(0.6848),67.90513
316,1739119529,1,tensor(0.4155),65.594765
317,1739119529,2,tensor(0.4763),131.70438
318,1739119529,0,tensor(0.3023),135.0116
319,1739119530,1,tensor(0.2812),23.030224
320,1739119530,2,tensor(0.4242),31.309671
321,1739119530,0,tensor(0.3593),91.529655
322,1739119530,1,tensor(1.2608),157.60806
323,1739119531,2,tensor(0.4161),65.281876
324,1739119531,0,tensor(0.5139),93.18981
325,1739119531,1,tensor(0.3794),70.59275
326,1739119532,2,tensor(0.3813),40.579823
327,1739119532,0,tensor(0.6786),79.18165
328,1739119532,1,tensor(0.5585),88.952095
329,1739119532,2,tensor(0.6913),48.03623
330,1739119533,0,tensor(0.5730),75.202415
331,1739119533,1,tensor(0.5719),70.55455
332,1739119533,2,tensor(1.9214),86.70238
333,1739119534,0,tensor(0.8255),128.58414
334,1739119534,1,tensor(0.6486),68.495514
335,1739119534,2,tensor(0.7115),74.693794
336,1739119535,0,tensor(0.5484),59.099716
337,1739119535,1,tensor(1.0932),75.05027
338,1739119535,2,tensor(0.5099),93.968895
339,1739119536,0,tensor(1.1071),73.328156
340,1739119536,1,tensor(0.3154),87.2373
341,1739119536,2,tensor(0.5860),85.16933
342,1739119536,0,tensor(1.6406),77.24529
343,1739119537,1,tensor(0.4922),126.7076
344,1739119537,2,tensor(0.4427),81.5532
345,1739119537,0,tensor(0.2867),90.31458
346,1739119537,1,tensor(0.3040),81.26336
347,1739119538,2,tensor(0.4007),42.360863
348,1739119538,0,tensor(2.0112),118.88493
349,1739119538,1,tensor(0.4133),115.460754
350,1739119538,2,tensor(1.3703),51.820206
351,1739119539,0,tensor(0.6757),108.88556
352,1739119539,1,tensor(0.6078),118.89607
353,1739119539,2,tensor(0.6211),58.410152
354,1739119540,0,tensor(0.7239),69.94525
355,1739119541,1,tensor(0.1877),77.69411
356,1739119541,2,tensor(0.1808),60.39258
357,1739119541,0,tensor(1.1764),80.93312
358,1739119542,1,tensor(0.7641),66.94147
359,1739119542,2,tensor(0.5664),84.68617
360,1739119542,0,tensor(1.1271),132.71884
361,1739119542,1,tensor(0.6833),85.83695
362,1739119543,2,tensor(0.6718),68.283844
363,1739119543,0,tensor(0.8591),113.12273
364,1739119543,1,tensor(0.7464),43.07743
365,1739119544,2,tensor(0.8825),89.740654
366,1739119544,0,tensor(0.3971),109.37046
367,1739119544,1,tensor(0.3281),74.99671
368,1739119545,2,tensor(0.3291),41.685104
369,1739119545,0,tensor(0.4181),144.7345
370,1739119545,1,tensor(0.4086),80.355064
371,1739119545,2,tensor(0.6506),65.9117
372,1739119546,0,tensor(0.4220),67.62202
373,1739119546,1,tensor(0.4013),63.264458
374,1739119546,2,tensor(0.5432),93.12796
375,1739119547,0,tensor(0.6627),76.9741
376,1739119547,1,tensor(0.7219),64.612526
377,1739119547,2,tensor(1.2247),92.117714
378,1739119548,0,tensor(0.6710),76.353546
379,1739119548,1,tensor(0.4641),97.4058
380,1739119548,2,tensor(0.7463),61.66929
