,step,agent_num,mean_q_loss,mean_exp_return
0,10,0,22.416952,0.43003255
1,10,1,22.503092,0.88811016
2,10,2,24.760601,0.8205351
3,11,0,19.231327,0.91229874
4,11,1,21.089443,1.4782429
5,11,2,21.100605,1.108812
6,12,0,17.628494,1.6086074
7,12,1,15.038088,1.8766998
8,12,2,16.345585,1.5395811
9,13,0,17.11601,2.7015386
10,13,1,12.890283,2.5981426
11,13,2,13.468086,1.7444515
12,14,0,16.637066,2.68872
13,14,1,11.304644,3.6009521
14,14,2,13.499556,1.5898893
15,15,0,16.816319,3.7895086
16,15,1,9.584171,5.027188
17,15,2,11.44565,2.5117426
18,16,0,13.72094,4.7283463
19,16,1,9.405861,6.1552024
20,16,2,18.34864,3.3120065
21,17,0,10.2647085,5.8535256
22,17,1,8.283708,6.713602
23,17,2,10.566771,3.0157847
24,18,0,9.45533,6.6458874
25,18,1,3.6349034,8.095341
26,18,2,13.003446,4.7120733
27,19,0,8.268285,7.2808704
28,19,1,3.2448726,8.362485
29,19,2,6.1852407,4.5860357
30,20,0,5.3007193,7.5193872
31,20,1,4.5666823,6.9632053
32,20,2,13.940895,5.4770746
33,21,0,4.4110146,8.197307
34,21,1,4.5334816,9.643461
35,21,2,4.783805,6.232744
36,22,0,4.468242,8.060302
37,22,1,4.186471,7.7204213
38,22,2,5.19359,5.4450603
39,23,0,3.2628179,8.287077
40,23,1,2.6615424,12.734735
41,23,2,5.984916,9.241026
42,24,0,2.980598,9.779302
43,24,1,15.490954,9.688472
44,24,2,3.0286841,10.041163
45,25,0,2.8917322,11.354261
46,25,1,5.0323486,12.454604
47,25,2,4.9061365,9.403051
48,26,0,4.0964947,10.273668
49,26,1,4.8387327,9.895306
50,26,2,6.030218,8.861414
51,27,0,24.257122,12.030984
52,27,1,24.206085,13.270547
53,27,2,19.325283,6.001291
54,28,0,2.689458,10.478664
55,28,1,13.3407345,9.737954
56,28,2,11.158882,7.742039
57,29,0,6.89331,13.7310915
58,29,1,4.4970045,9.000474
59,29,2,5.2654963,8.282553
60,30,0,4.7466836,12.951216
61,30,1,8.00002,7.9097214
62,30,2,6.068822,8.113984
63,31,0,4.5161777,11.057323
64,31,1,3.891716,7.414551
65,31,2,6.4954777,8.968128
66,32,0,4.381855,11.417061
67,32,1,10.634346,4.116144
68,32,2,7.320751,10.690933
69,33,0,2.1962147,12.498672
70,33,1,11.287354,6.1872716
71,33,2,3.998773,10.876574
72,34,0,3.6957037,9.8912115
73,34,1,6.3662267,7.0738096
74,34,2,3.574399,8.514352
75,35,0,7.596652,12.495285
76,35,1,13.63851,7.54401
77,35,2,3.9285765,6.8461037
78,36,0,4.7505083,10.631056
79,36,1,4.3292084,8.31148
80,36,2,3.2338634,8.449391
81,37,0,6.9107766,10.064213
82,37,1,7.5739527,7.502777
83,37,2,2.5699997,12.492511
84,38,0,3.3756642,8.824608
85,38,1,3.8604655,7.4142623
86,38,2,3.0932994,7.873503
87,39,0,2.1142478,10.532063
88,39,1,6.0584087,6.8833804
89,39,2,3.692939,11.478205
90,40,0,4.5606775,9.587699
91,40,1,6.9497347,9.039765
92,40,2,3.9653304,7.1136417
93,41,0,6.1885076,8.935483
94,41,1,9.154447,10.6147175
95,41,2,6.0986147,8.624192
96,42,0,4.1400166,12.716874
97,42,1,5.6657057,9.719126
98,42,2,4.19818,7.8097243
99,43,0,5.772579,10.2994995
100,43,1,4.4559464,11.477272
101,43,2,4.6074905,12.363027
102,44,0,3.1577563,10.295949
103,44,1,2.9357033,11.81962
104,44,2,5.528564,10.88826
105,45,0,3.6942148,10.721293
106,45,1,2.7800581,10.567462
107,45,2,1.8547931,11.613326
108,46,0,2.5654845,12.292362
109,46,1,3.847824,15.03865
110,46,2,2.5656142,9.682503
111,47,0,3.5658486,9.1036415
112,47,1,12.603039,8.779334
113,47,2,3.4446573,10.186334
114,48,0,2.2086053,11.330941
115,48,1,10.1320095,11.225686
116,48,2,3.3907266,14.538164
117,49,0,3.8497546,10.250604
118,49,1,3.5004508,13.893823
119,49,2,3.1822596,9.825687
120,50,0,4.03261,13.34451
121,50,1,4.749976,14.946449
122,50,2,1.5207384,11.137608
123,51,0,7.306967,11.107055
124,51,1,2.8813648,12.344092
125,51,2,2.7060401,8.535424
126,52,0,1.8931003,12.384052
127,52,1,2.10536,12.058614
128,52,2,1.9733665,10.381247
129,53,0,3.0270903,11.237127
130,53,1,2.0225737,8.643377
131,53,2,3.6458707,8.497533
132,54,0,1.5809114,8.418797
133,54,1,57.356106,8.359272
134,54,2,2.847681,11.550921
135,55,0,6.678309,9.821997
136,55,1,5.5801783,9.183929
137,55,2,1.4465326,9.476784
138,56,0,2.7532258,9.871319
139,56,1,2.773066,9.839414
140,56,2,54.781,9.623162
141,57,0,2.6637297,10.579113
142,57,1,3.4018188,8.749215
143,57,2,3.104404,8.604556
144,58,0,57.919632,9.186465
145,58,1,1.9558109,7.8449507
146,58,2,1.9068513,8.495148
147,59,0,2.5348969,7.5947037
148,59,1,9.025487,9.729317
149,59,2,49.205414,9.332896
150,60,0,4.4461226,7.338267
151,60,1,3.5550346,8.658401
152,60,2,2.610981,8.716897
153,61,0,5.977063,10.090728
154,61,1,4.1002073,10.336054
155,61,2,3.8302014,12.481198
156,62,0,52.93763,9.2706785
157,62,1,2.6533139,9.060965
158,62,2,48.771957,8.045854
159,63,0,3.0548422,9.967983
160,63,1,4.44864,12.131127
161,63,2,2.9766974,9.60765
162,64,0,2.6877394,12.470242
163,64,1,34.28379,9.29803
164,64,2,42.433975,10.995395
165,65,0,2.6289952,11.310526
166,65,1,3.898035,10.854848
167,65,2,44.321705,8.221447
168,66,0,49.101032,10.636837
169,66,1,1.2376636,8.690344
170,66,2,1.2685794,9.933473
171,67,0,2.3117335,8.992387
172,67,1,14.224798,10.577941
173,67,2,1.784998,10.608904
174,68,0,2.939156,11.358394
175,68,1,4.035226,6.144001
176,68,2,5.057089,8.95104
177,69,0,3.1499808,12.689825
178,69,1,2.6453834,12.563663
179,69,2,2.9828024,10.1357355
180,70,0,20.168333,8.575781
181,70,1,3.483105,9.608021
182,70,2,5.0434017,8.856182
183,71,0,5.7449856,8.355253
184,71,1,8.126022,7.9903827
185,71,2,3.1292815,7.888775
186,72,0,2.2668567,10.422832
187,72,1,6.111849,10.422066
188,72,2,2.1462874,12.512779
189,73,0,17.724136,13.529529
190,73,1,7.8166656,11.731358
191,73,2,3.2991755,9.867889
192,74,0,2.3187947,11.098455
193,74,1,4.2490816,9.789059
194,74,2,1.6547503,9.822288
195,75,0,2.2378736,12.67704
196,75,1,2.0685875,9.92856
197,75,2,2.7542038,11.899566
198,76,0,15.164747,10.14841
199,76,1,5.753145,13.7470255
200,76,2,2.777803,10.756959
201,77,0,4.55346,16.286987
202,77,1,37.362286,12.160081
203,77,2,3.0816097,8.85782
204,78,0,9.981866,17.426146
205,78,1,32.13006,13.063159
206,78,2,4.690089,9.315173
207,79,0,26.429123,13.005337
208,79,1,2.334198,6.9749475
209,79,2,4.381046,14.431394
210,80,0,2.7107377,11.470537
211,80,1,2.1705709,14.591149
212,80,2,1.8321013,13.210892
213,81,0,2.7258778,11.334898
214,81,1,10.51332,12.841487
215,81,2,21.621819,10.05401
216,82,0,1.6967967,13.205936
217,82,1,1.802314,16.814323
218,82,2,8.319966,9.957157
219,83,0,2.5292292,11.138597
220,83,1,2.1902025,13.657586
221,83,2,2.9143133,10.854482
222,84,0,2.4256172,11.113201
223,84,1,5.864462,11.965864
224,84,2,5.583743,9.120313
225,85,0,2.6083136,9.569371
226,85,1,5.4119577,8.562958
227,85,2,3.2291572,10.660198
228,86,0,6.664837,9.854798
229,86,1,12.444992,12.468201
230,86,2,5.1340313,9.414523
231,87,0,3.5473604,10.962519
232,87,1,8.347572,10.795384
233,87,2,7.567669,12.310138
234,88,0,5.793371,10.720075
235,88,1,16.688852,13.297083
236,88,2,28.64069,10.664529
237,89,0,3.0960236,11.452979
238,89,1,3.1029809,9.930478
239,89,2,1.4857982,8.170719
240,90,0,13.568444,10.3422365
241,90,1,13.43095,11.044785
242,90,2,14.227893,12.724421
243,91,0,2.5281608,10.703677
244,91,1,12.361449,12.846686
245,91,2,1.9644706,7.904594
246,92,0,3.5609236,12.536867
247,92,1,5.4017563,10.843519
248,92,2,8.2744255,11.117763
249,93,0,4.4587994,13.614093
250,93,1,4.065856,12.453858
251,93,2,2.3540592,11.690999
252,94,0,3.8971045,13.977837
253,94,1,10.860394,9.999423
254,94,2,1.7435906,14.395678
255,95,0,2.7884922,10.882881
256,95,1,2.9414432,13.166789
257,95,2,3.0065317,7.980321
258,96,0,15.13327,13.716632
259,96,1,5.8583927,10.095122
260,96,2,5.452535,10.17358
261,97,0,1.4498999,11.953575
262,97,1,1.515303,13.345378
263,97,2,2.4462974,12.469389
264,98,0,4.0145454,12.605939
265,98,1,3.2758489,11.2585945
266,98,2,3.3164215,9.777824
267,99,0,1.6737844,10.33142
268,99,1,3.595749,13.071817
269,99,2,11.131693,11.736053
270,100,0,8.352222,9.284838
271,100,1,2.9099689,8.794202
272,100,2,19.161522,13.307858
273,101,0,2.0888884,12.582778
274,101,1,5.453787,13.889734
275,101,2,7.260391,9.687054
276,102,0,2.261177,10.3882065
277,102,1,2.8567927,12.260465
278,102,2,3.5254235,10.823119
279,103,0,7.2579017,10.54648
280,103,1,3.4197676,11.287016
281,103,2,6.982579,10.871258
282,104,0,4.8108606,11.023973
283,104,1,4.47493,9.877566
284,104,2,4.8398476,11.002267
285,105,0,10.84256,12.631138
286,105,1,2.9713035,15.053013
287,105,2,2.4458137,9.423022
288,106,0,4.1128407,10.883387
289,106,1,6.676957,9.990288
290,106,2,3.6246428,10.449426
291,107,0,5.5949078,10.053408
292,107,1,14.656922,10.935899
293,107,2,4.3574114,12.191788
294,108,0,3.313441,10.500093
295,108,1,2.0572076,10.26625
296,108,2,3.800313,7.841736
297,109,0,2.8718114,10.621911
298,109,1,4.1531444,10.44861
299,109,2,40.087597,13.537413
300,110,0,4.886281,9.849675
301,110,1,5.397888,11.551364
302,110,2,3.9267905,14.410984
303,111,0,5.6248326,11.928104
304,111,1,4.392029,13.240505
305,111,2,8.236313,11.08915
306,112,0,9.557591,9.748679
307,112,1,8.480559,10.523729
308,112,2,4.1154814,11.267178
309,113,0,4.17078,12.39579
310,113,1,4.4777155,13.439384
311,113,2,5.9051104,11.379212
312,114,0,5.513801,12.503672
313,114,1,12.133314,9.007306
314,114,2,3.403748,13.190881
315,115,0,3.6722941,8.687902
316,115,1,45.128624,10.845803
317,115,2,16.983118,8.092857
318,116,0,5.6089554,12.843301
319,116,1,3.639073,11.008769
320,116,2,3.5020065,12.064181
321,117,0,7.7416024,12.173782
322,117,1,5.2506223,10.599929
